ID,PLATFORM,BOT,BROWSER,DIST
1704,iOS,False,Safari,iPhone
1705,iOS,False,,iPhone
1706,Mac OS,False,Safari,
1707,iOS,False,Safari,iPhone
1708,Windows,False,Firefox,
1709,Mac OS,False,Safari,
1710,iOS,False,,iPhone
1712,iOS,False,Safari,iPhone
1713,Windows,False,Chrome,
1714,Windows,False,Chrome,
1715,iOS,False,Safari,iPhone
1716,Mac OS,False,Safari,
1717,Windows,False,ChromiumEdge,
1718,Windows,False,Chrome,
1719,Windows,False,ChromiumEdge,
1720,Windows,False,Chrome,
1721,Mac OS,False,Safari,
1722,Mac OS,False,Safari,
1723,Mac OS,False,Safari,
1724,Windows,False,Chrome,
1725,iOS,False,Safari,iPhone
1726,Windows,False,Chrome,
1727,Windows,False,Chrome,
1728,iOS,False,ChromeiOS,iPhone
1729,iOS,False,Safari,iPhone
1730,iOS,False,Safari,iPhone
1731,Windows,False,Chrome,
1732,Windows,False,Firefox,
1733,iOS,False,Safari,iPhone
1734,Mac OS,False,Chrome,
1735,Windows,False,Chrome,
1737,Windows,False,ChromiumEdge,
1738,Mac OS,False,Safari,
1739,Android,False,Chrome,Android
1740,Windows,False,Chrome,
1741,Mac OS,False,Safari,
1742,Windows,False,Chrome,
1743,Windows,False,Chrome,
1744,iOS,False,Safari,iPhone
1745,Android,False,Chrome,Android
1746,Mac OS,False,Safari,
1747,Windows,False,Chrome,
1748,Mac OS,False,Safari,
1750,Android,False,Chrome,Android
1751,Windows,False,Chrome,
1753,iOS,False,Safari,iPhone
1754,iOS,False,Safari,iPhone
1755,iOS,False,,iPhone
1756,Android,False,Chrome,Android
1757,Mac OS,False,Safari,
1758,Mac OS,False,Safari,
1759,Mac OS,False,Chrome,
1760,iOS,False,Safari,iPhone
1761,iOS,False,Safari,iPhone
1762,Android,False,Chrome,Android
1763,Windows,False,Chrome,
1764,Windows,False,Chrome,
1765,Android,False,Chrome,Android
1766,Windows,False,Chrome,
1767,iOS,False,Safari,iPhone
1768,Windows,False,Chrome,
1769,iOS,False,,iPhone
1770,Mac OS,False,Safari,
1771,iOS,False,Safari,iPhone
1772,Android,False,Chrome,Android
1773,Mac OS,False,Chrome,
1774,Mac OS,False,Safari,
1775,Windows,False,Chrome,
1776,Mac OS,False,Safari,
1777,Mac OS,False,Chrome,
1778,Windows,False,Chrome,
1779,iOS,False,Safari,iPhone
1781,iOS,False,Safari,iPhone
1782,Mac OS,False,Safari,
1783,Mac OS,False,Safari,
1784,Windows,False,Chrome,
1786,Android,False,Chrome,Android
1787,Android,False,Chrome,Android
1788,Linux,False,Chrome,
1789,Windows,False,Chrome,
1790,Windows,False,Chrome,
1791,Mac OS,False,Chrome,
1792,Windows,False,Chrome,
1793,Windows,False,Chrome,
1794,Mac OS,False,Chrome,
1795,Windows,False,Chrome,
1796,Windows,False,Chrome,
1797,iOS,False,ChromeiOS,iPhone
1798,Windows,False,Firefox,
1799,Mac OS,False,Chrome,
1800,Windows,False,Chrome,
1801,Windows,False,Chrome,
1802,Windows,False,Chrome,
1803,Windows,False,ChromiumEdge,
1804,iOS,False,Safari,iPhone
1805,Mac OS,False,Chrome,
1806,Android,False,Chrome,Android
1807,Windows,False,ChromiumEdge,
1808,Windows,False,Chrome,
1809,Windows,False,ChromiumEdge,
1810,Windows,False,ChromiumEdge,
1811,iOS,False,Safari,iPhone
1812,iOS,False,Safari,iPhone
1813,Windows,False,Chrome,
1815,Android,False,Chrome,Android
1816,Windows,False,ChromiumEdge,
1817,iOS,False,Safari,iPhone
1818,Windows,False,Chrome,
1819,Windows,False,Firefox,
1820,Windows,False,Chrome,
1822,Windows,False,Chrome,
1823,Windows,False,Firefox,
1824,Windows,False,Firefox,
1825,Mac OS,False,Safari,
1826,Windows,False,Firefox,
1827,Mac OS,False,Safari,
1828,iOS,False,Safari,iPhone
1829,Mac OS,False,Safari,
1830,Mac OS,False,Chrome,
1831,Mac OS,False,Safari,
1832,Windows,False,ChromiumEdge,
1834,Android,False,Chrome,Android
1835,Android,False,Chrome,Android
1836,Windows,False,Chrome,
1837,Windows,False,Chrome,
1838,Windows,False,Chrome,
1839,Windows,False,Chrome,
1840,iOS,False,Safari,iPhone
1841,iOS,False,Safari,IPad
1842,Mac OS,False,Safari,
1843,Android,False,Chrome,Android
1844,iOS,False,,iPhone
1845,Windows,False,ChromiumEdge,
1846,Mac OS,False,Safari,
1847,Android,False,Chrome,Android
1848,Mac OS,False,Chrome,
1849,Windows,False,Chrome,
1850,Windows,False,Chrome,
1851,iOS,False,Safari,iPhone
1852,Android,False,Chrome,Android
1853,iOS,False,,IPad
